"","cases","Country","Population","Popchange","Density","Migrant","Fert","MedAge","Urban","WorldShare","log_cases","log_casespop"
"102",66859.4689,"Norway",5421241,70,15,28000,7,26,66,8,11.1103482164786,0.716526906902567
"103",2472,"Oman",5106626,152,16,87400,19,17,70,8,7.81278281857758,0.505811070570889
"104",22881.3451,"Pakistan",220892340,132,287,-233379,26,9,21,72,10.0380772331014,0.522457714069939
"105",11209.2179,"Panama",4314767,116,58,11200,15,16,52,7,9.32449174556807,0.610339313266935
"106",158.9555,"Papua New Guinea",8947024,130,20,-800,26,8,4,12,5.0686242888343,0.316653816352592
"107",725.5562,"Paraguay",7132538,100,18,-16556,14,12,46,10,6.58693853314213,0.417418527385013
"108",11958.9848,"Peru",32971854,108,26,99069,13,17,62,35,9.38923814095872,0.542380493991314
"109",19619,"Philippines",109581078,104,368,-67152,16,12,31,62,9.88425376342083,0.533932594004285
"110",25126.1451,"Poland",37846611,4,124,-29395,4,28,44,40,10.1316642204422,0.58064267460801
"111",74081.7755,"Portugal",10196709,11,111,-6000,3,32,50,14,11.2129248363655,0.694833296450299
"112",13203.1839,"Qatar",2881053,121,248,40000,9,18,78,5,9.48821328403478,0.637920269441576
"113",23147.9668,"Romania",19237691,19,84,-73999,6,29,39,25,10.0496622284435,0.599179188565387
"114",22848,"Russia",145934462,28,9,182456,8,26,58,66,10.0366188651393,0.533900527660238
"115",863.8739,"Rwanda",12952218,150,525,-9000,31,6,8,18,6.76142680907838,0.412866741670626
"116",44.0211,"Saint Lucia",183627,53,301,0,4,20,9,1,3.78466906442763,0.312249374271807
"117",17955,"Saudi Arabia",34813871,114,16,134979,13,18,67,37,9.79562390666018,0.564084476837297
"118",2021.5476,"Senegal",16743927,158,87,-20000,37,5,33,21,7.61161863567474,0.457606487022235
"119",9593.0059,"Serbia",8737371,14,100,4000,5,28,40,12,9.16878955984955,0.573654556580544
"120",196.492,"Seychelles",98347,61,214,-200,15,20,40,1,5.28062171801235,0.459333987662565
"121",16390.8333,"Singapore",5850342,70,8358,27028,2,28,81,9,9.70447751242228,0.622800080959873
"122",4735.699,"Slovakia",5459642,29,114,1485,5,27,38,8,8.46288461880085,0.545538746027425
